order_id,date,product_category,customer_segment,quantity,price,shipping_cost,lead_time_days,total_sales,delay_risk
1,2024-01-01 00:00:00,Home,Home Office,69,323.1294252383681,11.876261419322745,6,22295.9303414474,0
2,2024-01-01 01:00:00,Beauty,Home Office,58,976.3098801715853,33.208412956409006,20,56625.97304995195,0
3,2024-01-01 02:00:00,Electronics,Home Office,44,264.26325882138804,8.312821769015676,20,11627.583388141073,0
4,2024-01-01 03:00:00,Home,Home Office,74,461.56593685716695,13.536336418255773,21,34155.87932743035,1
5,2024-01-01 04:00:00,Home,Home Office,56,39.72002346016295,20.203424856288667,13,2224.321313769125,0
6,2024-01-01 05:00:00,Beauty,Corporate,43,403.2552542705702,8.504152893786486,24,17339.97593363452,1
7,2024-01-01 06:00:00,Electronics,Home Office,89,575.6068152787717,13.626467202273549,17,51229.00655981068,0
8,2024-01-01 07:00:00,Electronics,Home Office,34,953.5933663828854,46.007140504258,6,32422.174457018104,0
9,2024-01-01 08:00:00,Home,Corporate,30,521.5686844906638,5.868460950214314,18,15647.060534719914,0
10,2024-01-01 09:00:00,Clothing,Corporate,71,820.916252915911,34.40443658784629,15,58285.053957029675,0
11,2024-01-01 10:00:00,Home,Corporate,70,551.6563661432116,22.29840189118332,13,38615.94563002481,0
12,2024-01-01 11:00:00,Home,Corporate,55,50.37716330116292,35.2691932744567,14,2770.743981563961,0
13,2024-01-01 12:00:00,Home,Corporate,67,321.8581924378763,31.491127416353205,22,21564.498893337714,0
14,2024-01-01 13:00:00,Home,Corporate,13,579.7940127527922,15.057443945958992,15,7537.3221657863,0
15,2024-01-01 14:00:00,Beauty,Home Office,3,951.0880262718131,43.124426940802486,6,2853.2640788154395,0
16,2024-01-01 15:00:00,Electronics,Home Office,26,860.5390561537209,27.13731721742105,23,22374.015459996743,0
17,2024-01-01 16:00:00,Beauty,Consumer,57,236.07205803705918,42.01412085110623,24,13456.107308112374,0
18,2024-01-01 17:00:00,Beauty,Home Office,24,227.90873171897186,23.270564128469864,6,5469.809561255324,0
